partner,total_v,total_rows,sanc_v,sanc_rows,sanc_share,post_v,pre_v,growth,exposure_index,iso3
64,62.121,11,23.98,6.0,0.3860208303150303,14.496,62.121,-0.6888652790521723,0.3860208303150303,BTN
458,6373251.033,4272,2362544.535,2254.0,0.37069692104814356,2056142.21,6373251.033,-0.569839171174749,0.37069692104814356,MYS
112,54705983.128,15375,20093713.548,6437.0,0.36730376458065145,,54705983.128,,0.36730376458065145,BLR
504,1839052.956,2177,669769.64,1202.0,0.3641926883153875,271403.938,1839052.956,-0.8032292022082841,0.3641926883153875,MAR
417,1464159.413,4439,513826.049,2283.0,0.3509358642493664,2867030.6689999998,1464159.413,1.6108547503267436,0.3509358642493664,KGZ
660,28.543,16,9.835,8.0,0.3445678450057808,,28.543,,0.3445678450057808,AIA
688,4165241.229,4792,1414545.622,2385.0,0.3396071305909951,3351392.1689999998,4165241.229,0.07281250864618283,0.3396071305909951,SRB
422,60472.527,590,19291.334,296.0,0.31900988691939397,23482.491,60472.527,-0.4822444248112866,0.31900988691939397,LBN
740,155.72299999999998,47,49.2,25.0,0.3159456213918304,9.658000000000001,155.72299999999998,-0.9173061568725664,0.3159456213918304,SUR
591,11242.507,122,3523.3979999999997,59.0,0.31339967144338887,468.39300000000003,11242.507,-0.9444497566245678,0.31339967144338887,PAN
710,2723248.902,2947,835184.322,1513.0,0.30668673781035094,864878.941,2723248.902,-0.5765455296846261,0.30668673781035094,ZAF
434,22.088,6,6.765000000000001,4.0,0.3062749003984064,,22.088,,0.3062749003984064,LBY
500,2.588,10,0.775,7.0,0.29945904173106647,,2.588,,0.29945904173106647,MSR
450,53557.816,628,15429.77,472.0,0.2880955788040349,12046.413,53557.816,-0.7001019608417192,0.2880955788040349,MDG
376,3120124.188,4624,898123.499,2194.0,0.2878486383504168,1709352.0,3120124.188,-0.2695367675538176,0.2878486383504168,ISR
398,24432845.406,10421,6770682.01,4503.0,0.27711393812270907,28107143.917,24432845.406,0.533844759650068,0.27711393812270907,KAZ
540,11.876,28,3.177,23.0,0.267514314584035,,11.876,,0.267514314584035,NCL
860,7142110.894,3306,1893882.051,1512.0,0.26517119085773744,8606438.743,7142110.894,0.6067030920751388,0.26517119085773744,UZB
418,57930.941,357,15174.679,291.0,0.2619442863874764,337.845,57930.941,-0.9922241898332016,0.2619442863874764,LAO
887,404.45300000000003,22,99.326,2.0,0.24558106875211702,,404.45300000000003,,0.24558106875211702,YEM
360,7538616.326,4543,1770844.804,2238.0,0.2349031609278904,4129056.897,7538616.326,-0.26970561202161913,0.2349031609278904,IDN
762,216136.837,650,50239.469,315.0,0.23244288061826313,222908.766,216136.837,0.3751088991831597,0.23244288061826313,TJK
634,162960.588,168,35821.104,76.0,0.2198145234969329,22.954,162960.588,-0.9998121918084063,0.2198145234969329,QAT
76,7535681.039,4756,1627141.324,2353.0,0.21592491980206277,4766926.47,7535681.039,-0.15655905191504216,0.21592491980206277,BRA
800,55709.820999999996,193,11373.436,106.0,0.20415495501233077,67479.04999999999,55709.820999999996,0.6150126683527966,0.20415495501233077,UGA
430,14766.915,11,2964.0200000000004,2.0,0.20072032648660876,,14766.915,,0.20072032648660876,LBR
626,33.173,20,6.196,9.0,0.18677840412383562,,33.173,,0.18677840412383562,TLS
12,46596.57,292,8418.716,159.0,0.18067244005299105,,46596.57,,0.18067244005299105,DZA
554,836887.02,1677,126878.341,805.0,0.15160749057859685,75245.301,836887.02,-0.8801187429098852,0.15160749057859685,NZL
818,2188758.557,2107,318889.069,959.0,0.1456940364573981,1673132.169,2188758.557,0.01922749079171271,0.1456940364573981,EGY
270,100.66300000000001,25,14.461,17.0,0.14365755044057896,8.537,100.66300000000001,-0.8869230336204299,0.14365755044057896,GMB
533,3.6959999999999997,3,0.526,2.0,0.14231601731601734,,3.6959999999999997,,0.14231601731601734,ABW
798,12.817,8,1.7280000000000002,4.0,0.13482094093781696,,12.817,,0.13482094093781696,TUV
368,550.255,24,73.339,13.0,0.1332818420550472,,550.255,,0.1332818420550472,IRQ
120,11758.341,127,1484.914,64.0,0.12628601262712147,120956.20099999999,11758.341,12.715789894736565,0.12628601262712147,CMR
364,2210797.279,1966,254253.847,693.0,0.11500550023971691,691495.981,2210797.279,-0.5829583064484434,0.11500550023971691,IRN
531,2746.8630000000003,25,267.066,16.0,0.09722581723223908,,2746.8630000000003,,0.09722581723223908,CUW
340,73020.957,243,6970.273999999999,171.0,0.09545580181864777,10124.63,73020.957,-0.8151283245073512,0.09545580181864777,HND
795,572962.723,385,53715.613,136.0,0.09375062433162863,,572962.723,,0.09375062433162863,TKM
231,101408.924,359,9196.55,240.0,0.09068777812887552,26603.266,101408.924,-0.6502179499179646,0.09068777812887552,ETH
48,45778.943,193,4064.561,113.0,0.08878669391733227,7523.457,45778.943,-0.7808757620288437,0.08878669391733227,BHR
166,13.58,7,1.127,6.0,0.08298969072164948,,13.58,,0.08298969072164948,CCK
188,369561.81299999997,830,30200.292,386.0,0.08171918996403453,80291.093,369561.81299999997,-0.710319662636067,0.08171918996403453,CRI
400,219389.91,468,17549.418999999998,295.0,0.07999191485150797,8422.576000000001,219389.91,-0.9488121339156694,0.07999191485150797,JOR
170,522051.92100000003,1067,40946.254,603.0,0.078433298208283,261103.429,522051.92100000003,-0.3331354768957294,0.078433298208283,COL
31,3090112.042,2564,239276.838,1077.0,0.07743306221515964,3348783.534,3090112.042,0.44494589558963304,0.07743306221515964,AZE
