hs6,cg_pre,cg_post,gr_pre,gr_post,cg_change,gr_change
848230,291991.68933333334,228750.53000000003,5374.832666666666,24550.67366666667,-0.24409237276732831,1.5188665489674182
848250,574280.9483333334,574966.5023333334,59768.815,100689.93966666667,0.0011930466112790583,0.5215550545248409
848280,84556.99399999999,88758.18333333333,3497.466666666667,15639.839333333335,0.048489278700632354,1.4975606222258406
848291,150485.81166666668,100049.239,627.987,5001.089,-0.40820300039488444,2.0735003154018106
848299,333976.528,293818.1103333333,5804.026999999999,40267.687000000005,-0.12810940226931322,1.9368499031131705
848310,841271.6443333334,874067.79,42504.926666666666,98085.79366666666,0.03824328157154433,0.8362092191858022
848320,67612.59433333333,72884.46066666667,8821.118,13858.761333333334,0.07508011452854646,0.4517277965512019
848330,598434.6286666667,691892.9303333333,24347.236666666664,37600.663,0.14511369923201123,0.43458884738808834
848340,1579195.0016666667,1691164.3816666666,66864.46966666666,207679.48266666665,0.0685020084169139,1.1333180721979819
848350,396788.859,451097.29133333336,30159.945999999996,40897.63433333333,0.128278438500665,0.30454876341264026
848360,280629.649,317488.559,16737.506,42451.80433333333,0.1234055443919253,0.9306811588423987
848390,1366402.7126666668,1294068.5143333334,48133.679000000004,141907.40433333334,-0.05439034602330395,1.0811789151038749
848410,260556.47233333334,283325.9486666667,8218.155333333334,29663.673666666666,0.08377806642440788,1.2834894527459397
848490,142278.39233333335,193617.155,4232.794333333333,14906.42,0.3080952701222994,1.2587604790691156
850110,640664.4103333333,598235.2446666667,34886.99766666666,43689.99133333333,-0.06852160597526513,0.22499906921170876
850120,53658.73766666666,28507.95433333333,2994.456,11698.509,-0.6324447311168004,1.3624504013769076
850131,742740.8056666666,687548.857,23086.881999999998,103394.16566666665,-0.07721413567325364,1.4992503161357114
850132,99748.63333333335,85048.42233333334,16510.163666666667,11891.601,-0.15943085317119277,-0.3281202959483309
850133,24735.902000000002,33014.00033333334,1693.2243333333333,2796.36,0.28866587693162593,0.5014510996290058
850134,7737.590666666667,13813.924666666666,2303.005333333333,2994.2246666666665,0.579529918738233,0.2623701850203055
850140,65005.91033333333,81696.55666666666,71002.83533333334,62788.581999999995,0.2285305181926649,-0.1229447263688428
